Date,Link,City,Title,Type,Company,Experience
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8146/link,Remote,Junior Infrastructure Delivery Specialist,Job,UniCredit,> 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8145/link,Remote,Junior Infrastructure Solution Architect,Job,UniCredit,> 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8144/link,Iași,Junior Cloud Engineer,Job,UniCredit,> 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8143/link,"București, Iași",Junior ITSM Specialist (Incidents),Job,UniCredit,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8141/link,București,Junior Python Developer,Job,Onapsis,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8140/link,"București, Iași, Sibiu",Junior RPA Developer with German,Job,BearingPoint,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8138/link,București,Content Moderation - Process Associate - Swedish,Job,Genpact,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8136/link,București,Content Moderation - Process Associate - Bulgarian,Job,Genpact,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8134/link,București,Content Moderation – Process Associate - Norwegian,Job,Genpact,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8131/link,București,Content Moderation - Process Associate – English,Job,Genpact,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8132/link,București,Content Moderation - Process Associate – English,Job,Genpact,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8130/link,București,Sales Excellence Trainee,Trainee,Schneider Electric,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8128/link,București,Project Management Trainee,Trainee,Schneider Electric,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8127/link,Iași,Low Code Developer Intern,Intern,Centric IT Solutions Romania,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8125/link,București,Junior Microsoft Dynamics Business Central Consultant,Job,AltaSoft Software Solutions,> 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8124/link,București,Junior Project Support Specialist with Italian,Job,GlobalLogic,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8123/link,București,Junior Project Support Specialist with Russian,Job,GlobalLogic,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8119/link,București,Associate Engineer,Job,Oracle,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8118/link,București,Oracle Summer School Bucharest,Academy Programs,Oracle,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8116/link,București,Junior Information Security Engineer,Job,Onapsis,> 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8113/link,București,Internship Salesforce Consultant,Internship,PPC ROMANIA,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8112/link,Timișoara,Quality System - Internship,Internship,Mahle,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8110/link,București,IT Service Desk Specialist,Job,vidaXL,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8108/link,Timișoara,Summer Internship with German Knowledge,Summer Practice 2024,Accenture,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8104/link,Craiova,Internship Integration Competence Center Craiova,Internship,Pirelli,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8103/link,București,Junior Internal Security Sales Associate,Job,TD SYNNEX,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8102/link,Alba Iulia,Working Student – TEF1 Manufacturing Process Development,Job,Bosch Service Solutions,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8101/link,Cluj-Napoca,Technical Artist Working Student for Smart Mobility Soluti,Job,Bosch Service Solutions,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8100/link,București,Quality Assurance Analyst with Portuguese,Job,Wipro,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8097/link,Timișoara,Internship HR Recruiting,Internship,Continental,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8095/link,Remote,Junior Business Consultant with German,Job,Regnology,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8094/link,Iași,PHP Development Intern,Intern,HungryBytes,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8093/link,Brașov,Junior/Middle Performance Specialist,Job,Data Revolt Agency,> 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8091/link,Brașov,Junior Developer,Job,SoftOne Technologies,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8085/link,București,Junior Configuration Engineer/System Administrator,Job,Veeam Software,> 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8084/link,București,Junior System Administrator,Job,EveryMatrix,> 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8083/link,București,Junior Database Administrator,Job,EveryMatrix,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8080/link,București,C++ Software Engineer – Junior to Principal,Job,Finastra,0 - 1 an
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8078/link,Timișoara,Maintenance Internship,Internship,Continental,Fără experiență
